,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
MYB,0.015305993,0.97404766,-1.0551627,0.8349828,-0.22344206,1.1477726,1.856733,1.0342816,-0.60525626,-0.06752228
MYBL2,-0.6597444,0.034110546,1.2112507,-0.21290597,0.14689654,-0.5382589,0.40627933,-0.21771578,0.26654372,-0.2916168
MYC,2.913309,1.008941,3.6616702,5.9978004,4.281073,2.5443256,3.1053486,3.8489547,0.07422692,-0.029612085
MYOCD,-0.9731473,-2.1274948,-2.1654272,-4.0541015,-1.712772,-0.67160666,-1.7525796,-0.5759805,-2.469126,-0.8087304
MYOD1,0.51963294,-1.2340909,-1.2140568,-1.3520882,-0.61557734,-0.64601123,-0.678476,0.3643858,-1.6705148,0.12014985
MYOG,-0.1077005,-0.89686865,-1.9479339,-2.4082255,-1.5981171,-0.5076006,-1.3795786,-0.07215286,-2.4056246,-1.103121
MYT1,-0.80779916,0.34163928,0.36981842,-0.7189423,-0.73531616,-0.04592841,-0.516043,1.5676033,1.3246676,-0.6545221
NCOA1,1.1548992,-0.9223878,0.9412146,0.5486771,-0.39600214,-0.2974619,0.297311,0.45147982,-0.4947864,-1.1898373
NCOA2,0.64840764,-0.8250638,1.014262,1.1560206,-1.6556948,-0.7951954,-0.2239457,1.1171097,0.76860154,-1.396797
NCOA3,1.5753858,0.5754338,0.6896794,2.2542965,0.30590752,0.48545521,1.5069344,0.6587642,-0.11437618,-1.1155654
NCOR1,0.69930935,0.6397385,0.8869474,0.15005182,0.84502625,1.0806811,0.93176246,1.9777497,-1.2864616,1.0840209
NEUROD1,-0.59362304,1.7691262,-1.4160151,0.29575202,-0.32470262,1.7734176,2.0563474,1.3827411,0.93788624,0.4544953
NFAT5,-0.32106826,-0.9958806,0.91617006,0.13812321,-1.0423405,-0.41412827,-0.25198922,-0.33858266,-0.80970275,-1.1687928
NFATC1,-0.7429195,-0.6609197,-1.0158362,0.45614186,-0.88858056,0.7236097,-0.21512356,-0.42907295,-0.7131895,-0.014879314
NFATC2,-0.39664033,-1.7238532,-1.2317752,0.913682,-1.9155881,0.9812244,-0.22485377,0.26242083,-1.7811052,-1.1965142
NFATC3,0.6553749,-0.78515655,-0.7308955,-1.115834,-0.30548933,0.7252173,-0.1383156,0.54806244,-0.3300109,-0.6374974
NFATC4,-1.8453735,0.16696948,0.022264792,0.27822864,0.6935995,0.052002493,0.54202676,-0.96768373,-0.6370868,0.39330855
NFE2L1,-1.0123463,-0.44437945,0.14677626,-0.30978933,-0.57344675,0.54131866,-1.385432,-0.27533776,-0.4200404,0.4969996
NFE2L2,-2.7186801,-0.3255413,-1.3313711,0.33061314,-1.6358111,-2.3695738,-2.631126,-0.05279633,-2.4955437,-0.18872315
NFKB1,-0.47907832,-1.288959,-0.3904767,-0.06563678,-0.48928636,1.5680379,0.44994572,0.51749927,-1.5636849,-0.42823634
NFYA,0.34723985,-0.654911,0.5018143,0.9159515,0.5718514,-0.31336552,0.5139506,-0.3047932,-0.31827846,-0.72652644
NOTCH1,1.1059723,-1.9137065,0.67685777,0.41331,0.17339912,1.3218384,0.3152952,0.8343127,-0.797421,-0.049830075
NPM1,0.61431795,-0.15974289,-0.4690982,-0.38194373,0.5848102,-0.6743779,0.07683426,-0.05230568,0.14505537,-0.8260981
NR1D1,2.3352642,-0.6807449,0.22087096,0.33744568,3.2271814,-0.090276435,2.048547,0.53565514,-0.114139915,0.24520034
NR1I2,-0.16801512,-0.8585064,-1.3215818,0.22886738,-0.34210736,-1.0772989,-0.64377266,0.5557206,-1.8449218,-0.92192614
NR3C1,-2.9665601,-1.6602676,-0.92649066,0.32731354,-3.3250976,-1.0495272,-2.319653,-0.94641894,-2.6848912,-3.6620188
NR4A1,-0.8992841,-0.4588726,1.7256271,1.3715379,-1.0044211,1.455152,0.5824751,0.040367536,-1.1343975,0.12353043
NR5A1,-1.0383713,0.06843578,-0.21847318,0.2331317,-1.4712414,-0.04679066,-0.95368576,0.17127705,-1.3889478,-0.055628944
NRF1,-0.7911726,-0.6526086,-0.22194834,-0.8983254,-1.5336331,-0.2373052,-0.5137779,0.35250744,-0.4066142,0.15597677
PA2G4,-0.2435307,0.18145716,0.91174847,0.020512529,0.19113071,0.1902937,-0.68610024,-0.04016561,-0.16139758,-0.122097194
PAX5,2.896466,0.4867094,1.3971287,1.6730785,1.5413086,4.519355,1.4563779,1.4738754,0.9472413,2.478201
